run_count,Left Power,Right Power,L Current,R Current,L Voltage,R Voltage,L Speed,R Speed
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0.05,0,0,0,0.13494623655914,0,0
3,0,-0.05,0,0,0,-0.13494623655914,0,0
4,0,0.1,0,0.69,0,0.782013685239492,0.062639821029083,-0.159955257270694
5,0,-0.1,0,0.77,0,-0.782013685239492,-0.061521252796421,0.148098434004474
6,0,0.15,0,0.75,0,1.35527859237537,0.02751677852349,-0.451454138702461
7,0,-0.15,0,1.62,0,-1.33240469208211,-0.071140939597316,0.368232662192394
8,0,0.2,0,1.94,0,1.92766373411535,0.047427293064877,-0.635123042505593
9,0,-0.2,0,2.29,0,-1.91935483870968,-0.072035794183445,0.604250559284116
10,0,0.25,0,2.41,0,2.55043988269795,0.054362416107383,-0.872930648769575
11,0,-0.25,0,2.86,0,-2.5286412512219,-0.060402684563758,0.845637583892617
12,0,0.3,0,3.1,0,3.11612903225806,0.036241610738255,-1.10604026845638
13,0,-0.3,0,3.49,0,-3.14310850439883,-0.077628635346756,1.08008948545861
14,0,0.35,0,3.24,0,3.73709677419355,0.00178970917226,-1.37024608501119
15,0,-0.35,0,2.98,0,-3.76945259042033,-0.029530201342282,1.37337807606264
16,0,0.4,0,4.61,0,4.26041055718475,0.004921700223714,-1.5413870246085
17,0,-0.4,0,3.81,0,-4.2791788856305,-0.03758389261745,1.56957494407159
18,0,0.45,0,6.08,0,4.6989247311828,0.015883668903803,-1.68523489932886
19,0,-0.45,0,5.53,0,-4.7202834799609,-0.053467561521253,1.70447427293065
20,0,0.5,0,7.12,0,5.14907135874878,0.008948545861298,-1.85525727069351
21,0,-0.5,0,5.97,0,-5.17302052785924,-0.043176733780761,1.90178970917226
22,0,0.55,0,6.85,0,5.78563049853372,-0.044295302013423,-2.13333333333333
23,0,-0.55,0,7.02,0,-5.70601173020528,-0.025950782997763,2.12013422818792
24,0.05,0,0,0,0.133870967741935,0,0,0
25,-0.05,0,0,0,-0.133870967741935,0,0,0
26,0.05,0.05,0,0,0.134408602150538,0.134408602150538,0,0
27,-0.05,-0.05,0,0,-0.134408602150538,-0.134408602150538,0,0
28,0.05,0.1,-0.03,0.41,0.133870967741935,0.778885630498534,0.16331096196868,-0.203355704697987
29,-0.05,-0.1,-0.03,0.41,-0.133870967741935,-0.778885630498534,-0.161073825503356,0.203579418344519
30,0.05,0.15,-0.06,1.12,0.132258064516129,1.34956011730205,0.1834451901566,-0.41744966442953
31,-0.05,-0.15,-0.08,1.32,-0.131720430107527,-1.34384164222874,-0.201342281879195,0.396420581655481
32,0.05,0.2,-0.04,1.44,0.131182795698925,1.95259042033236,0.168680089485459,-0.667337807606264
